epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,10.965,2.91374,4.9795,2.05243,0,0,0,0,3.01496,10.5647,3.05584,5.001e-05,5.001e-05,5.001e-05
2,13.018,2.77143,6.71386,2.18007,0,0,0,0,2.86421,10.7439,3.03889,0.000115535,0.000115535,0.000115535
3,15.065,2.85032,3.73728,2.11903,0,0,0,0,2.97674,5.82956,3.06959,0.000179739,0.000179739,0.000179739
4,17.735,2.67665,3.99203,2.37832,0,0,0,0,3.19689,1.56564,4.47002,0.000242624,0.000242624,0.000242624
5,20.405,2.6933,0.93101,3.10326,0,0,0,0,2.81176,0.55515,7.14981,0.000304187,0.000304187,0.000304187
6,22.926,2.86626,0.30923,3.96482,0,0,0,0,2.6398,0.27393,9.82638,0.000364431,0.000364431,0.000364431
7,25.611,2.73741,0.24168,3.39832,0,0,0,0,2.66224,0.06992,8.65207,0.000423355,0.000423355,0.000423355
8,28.3718,2.58792,0.17845,2.40797,0,0,0,0,2.6525,0.04455,6.01523,0.000480958,0.000480958,0.000480958
9,31.1548,2.37488,0.14793,1.87453,0.91456,0.14286,0.1425,0.05025,1.8362,0.19284,3.00202,0.000537241,0.000537241,0.000537241
10,33.7578,2.01024,0.26054,1.40631,0.85495,0.35714,0.33211,0.17276,1.5954,0.40585,1.38799,0.000592203,0.000592203,0.000592203
11,36.3448,1.31461,0.76227,0.82323,0.73577,0.35714,0.33403,0.23252,1.03409,0.97562,0.65442,0.000645846,0.000645846,0.000645846
12,38.9598,1.28592,0.65437,0.62056,0.7834,0.28571,0.29369,0.1754,1.09352,0.56393,0.70012,0.000698168,0.000698168,0.000698168
13,41.3498,1.03117,0.59039,0.44718,0.82921,0.07143,0.07409,0.0665,1.23245,0.86272,0.72135,0.00074917,0.00074917,0.00074917
14,43.7168,0.71465,0.73815,0.30156,0.79448,0.21429,0.2149,0.18916,1.26084,0.5308,0.76599,0.000798851,0.000798851,0.000798851
15,46.0768,0.66295,0.60655,0.25682,0.91949,0.28571,0.30108,0.24621,1.08068,0.98256,0.57803,0.000847213,0.000847213,0.000847213
16,52.5258,0.85587,0.94418,0.25688,0.91949,0.28571,0.30108,0.24621,1.08068,0.98256,0.57803,0.000894254,0.000894254,0.000894254
17,60.0838,0.7003,0.6605,0.2398,0.89301,0.28571,0.3306,0.24236,1.09154,0.52467,0.40567,0.000939975,0.000939975,0.000939975
18,63.8738,0.61152,0.59502,0.17618,0.41664,0.35702,0.34583,0.25289,1.02933,0.48276,0.46505,0.000984375,0.000984375,0.000984375
19,71.6188,0.81066,0.56773,0.2559,0.41664,0.35702,0.34583,0.25289,1.02933,0.48276,0.46505,0.00102746,0.00102746,0.00102746
20,79.6128,1.05988,0.43992,0.37567,0.73242,0.28571,0.2634,0.19075,1.08022,0.59421,0.55474,0.00106922,0.00106922,0.00106922
21,85.5268,0.72279,0.61705,0.27628,0.80562,0.21429,0.24027,0.12208,1.15765,0.83562,0.46844,0.00110966,0.00110966,0.00110966
22,87.9737,0.66691,0.70318,0.22742,0.80562,0.21429,0.24027,0.12208,1.15765,0.83562,0.46844,0.00114877,0.00114877,0.00114877
23,90.4817,0.73621,0.62007,0.22131,0.6245,0.14286,0.09583,0.0541,1.44136,0.47109,0.91561,0.00118657,0.00118657,0.00118657
24,92.8977,0.74076,0.63645,0.18007,0.6245,0.14286,0.09583,0.0541,1.44136,0.47109,0.91561,0.00122305,0.00122305,0.00122305
25,95.256,0.78687,0.55116,0.2141,0.90762,0.35714,0.38083,0.21954,0.98937,0.45897,0.39358,0.00125821,0.00125821,0.00125821
